Mean R, Mean G, Mean B
162.72713310580204,190.18976109215018,189.16860068259385
Stdev R, Stdev G, Stdev B
3.929469604331015,2.867345446365566,2.754438630938005
Median R, Median G, Median B
162.0,190.0,189.0

R, G, B
165,192,191
166,192,192
167,194,193
168,195,194
169,196,195
169,196,195
169,195,195
168,195,194
168,195,195
168,195,194
166,193,193
164,191,191
163,191,190
163,191,190
162,191,190
161,190,188
162,190,188
163,190,188
164,190,187
165,189,186
167,190,186
171,192,188
176,194,190
166,190,191
164,189,190
164,188,189
165,189,189
167,191,191
168,192,192
167,193,192
167,193,192
168,194,192
168,194,192
169,195,193
169,195,192
168,195,192
167,194,190
165,193,189
164,192,188
164,192,188
164,191,188
165,192,189
166,192,189
166,192,189
164,191,188
164,191,187
166,192,189
167,193,190
166,193,190
166,192,189
166,192,189
167,193,190
167,193,190
166,192,189
165,191,188
163,190,187
163,190,187
164,190,189
165,191,190
166,192,191
166,192,192
167,193,193
169,195,194
170,196,195
170,197,196
170,196,195
169,195,194
169,195,194
169,196,195
170,196,195
168,194,193
166,193,192
165,192,191
165,193,191
164,193,191
163,192,190
163,191,189
164,191,188
164,191,188
164,190,186
166,190,186
168,190,187
171,191,187
166,189,190
164,188,189
164,188,189
166,190,190
168,192,192
169,194,193
170,194,193
170,195,193
170,195,193
171,196,194
171,197,194
171,197,194
170,196,193
169,195,192
168,194,191
166,193,190
165,192,189
164,191,188
164,191,188
165,191,188
164,191,188
164,190,187
164,191,187
166,192,189
167,193,190
167,193,190
166,192,189
165,191,188
165,191,188
165,191,188
164,191,188
163,189,186
162,188,186
162,188,186
163,189,188
164,190,189
165,191,190
166,192,191
167,193,192
169,195,194
170,196,195
171,197,196
170,196,195
169,195,194
168,195,194
170,196,195
170,196,195
168,195,194
166,193,192
165,193,191
165,193,192
164,193,191
163,192,190
163,192,190
164,192,189
165,192,189
164,191,187
164,190,186
165,189,186
167,189,185
169,189,186
165,188,190
164,188,189
164,188,189
166,190,190
169,193,193
171,195,194
171,196,194
171,196,193
171,196,193
172,197,194
172,197,195
172,198,195
171,197,194
170,196,193
168,195,192
167,194,191
166,192,189
165,191,188
163,190,187
163,190,187
163,190,187
163,190,187
164,191,187
165,192,189
166,193,189
165,192,189
164,191,188
164,191,188
164,191,188
164,191,187
163,190,187
162,189,186
162,189,186
162,189,186
162,189,187
163,190,188
163,190,189
164,191,189
165,192,190
166,193,192
168,195,194
169,196,194
168,195,194
167,194,193
167,194,192
168,195,194
168,195,194
167,194,193
166,193,191
165,192,191
165,193,191
165,193,191
164,193,191
164,193,191
165,194,191
165,193,190
165,192,188
164,190,187
164,189,186
165,188,185
166,188,185
170,190,187
165,188,190
164,188,190
165,189,190
167,191,191
169,193,193
171,195,194
172,196,194
171,196,194
171,196,193
171,196,193
171,197,194
171,197,194
170,196,193
169,195,192
168,194,191
167,193,190
166,192,189
164,191,187
162,190,186
162,190,186
162,190,187
162,190,187
163,191,187
164,192,188
164,192,188
163,191,187
163,191,187
162,191,187
162,191,187
162,191,187
162,191,187
163,191,187
163,191,188
163,191,188
163,191,189
163,191,189
162,190,189
162,190,188
162,190,189
164,192,190
165,193,192
166,194,193
166,194,192
164,192,191
164,192,190
165,193,191
166,194,192
165,193,191
164,192,190
164,191,190
164,192,190
165,193,191
165,194,192
166,194,192
166,195,192
165,194,191
165,193,190
164,192,188
164,190,187
164,189,186
165,189,185
168,190,187
172,192,189
167,190,191
166,190,191
166,190,191
168,192,192
170,194,194
171,195,195
172,196,195
171,196,194
170,195,193
170,195,193
170,196,193
170,196,194
169,195,193
168,194,192
167,193,191
166,192,190
165,191,189
163,190,187
162,190,187
161,190,187
162,191,187
161,190,187
161,190,187
162,191,187
162,191,188
162,191,188
162,191,187
161,191,187
161,190,187
161,191,187
162,191,188
163,192,189
165,194,190
165,194,191
165,194,191
164,193,191
163,192,190
163,191,189
162,191,189
163,192,190
164,193,191
164,193,191
164,192,190
162,191,189
162,191,189
163,192,190
164,192,190
163,192,190
163,192,190
163,191,190
164,191,190
165,193,191
166,195,193
167,196,194
166,195,193
165,195,192
164,194,191
164,193,189
163,191,188
163,190,186
163,189,185
165,189,186
169,190,188
173,193,191
168,192,193
167,192,193
168,192,192
169,193,193
170,194,194
171,195,195
171,196,195
170,195,194
169,194,193
169,194,193
169,195,193
169,195,194
169,195,193
168,194,192
166,192,191
165,192,190
164,191,189
163,190,188
162,190,188
162,191,189
162,191,189
161,191,188
160,190,188
161,190,188
161,191,189
162,192,189
162,192,189
162,191,189
161,191,188
161,191,188
162,191,189
163,193,190
165,194,192
165,195,193
165,195,192
165,194,192
164,194,191
164,193,191
163,192,190
163,193,190
164,193,191
164,193,191
163,192,190
162,191,189
162,191,189
163,192,189
163,192,190
163,192,190
163,192,190
163,192,190
164,191,190
166,193,191
167,195,193
167,196,194
166,196,194
165,194,192
163,193,191
163,192,189
162,192,188
162,190,186
162,188,185
162,187,184
165,188,186
169,190,188
174,193,191
169,192,193
168,192,193
168,193,193
168,193,193
169,193,193
170,194,194
171,195,195
170,195,195
170,195,194
169,194,193
168,194,193
169,195,193
169,195,194
169,195,194
167,194,192
166,193,191
165,192,191
164,191,190
163,191,190
162,191,190
162,192,190
162,192,190
161,191,190
161,191,189
161,191,189
162,192,190
163,192,191
163,193,191
162,192,191
161,191,190
161,191,189
161,191,189
162,192,190
163,193,191
164,194,192
164,193,191
164,193,191
164,194,191
164,194,191
164,193,190
164,193,190
164,194,191
164,194,191
163,193,190
163,192,190
163,192,189
163,193,190
164,193,191
164,194,191
164,193,191
164,193,190
165,192,190
166,193,191
166,194,193
166,195,193
165,195,193
164,194,191
162,193,190
162,192,189
161,192,188
161,190,187
161,189,185
161,187,184
163,187,185
167,189,187
172,192,190
177,195,192
168,192,192
167,192,192
167,192,192
167,192,192
168,192,192
168,193,192
169,193,193
169,194,193
168,194,193
168,194,193
167,193,192
168,194,193
168,194,193
168,194,193
167,194,192
166,193,192
165,193,192
164,192,191
163,191,191
162,191,191
162,192,191
162,192,191
162,192,191
162,192,191
162,192,191
162,192,191
162,192,191
162,192,191
162,192,191
161,191,191
161,191,190
161,191,190
161,191,190
162,192,191
162,192,190
162,192,190
163,193,189
163,193,189
163,194,190
163,194,190
164,194,190
164,194,190
164,194,190
164,194,190
163,194,190
164,194,190
164,194,190
164,194,190
164,194,191
164,194,191
165,193,190
165,192,191
165,193,191
165,193,192
165,194,192
164,193,191
162,193,191
162,192,190
161,192,189
161,192,189
161,191,188
161,190,187
162,188,186
164,188,186
167,189,188
172,192,191
177,195,193
169,191,191
167,190,191
165,190,191
165,190,191
165,190,190
166,190,190
166,191,191
167,192,191
167,192,192
167,193,192
167,193,192
167,193,192
167,193,192
167,193,192
167,193,192
167,193,192
166,193,192
165,193,192
164,192,191
163,191,191
163,191,191
162,192,191
163,192,191
163,193,192
163,193,192
163,193,192
162,192,191
162,191,190
161,191,190
161,191,190
161,191,190
161,191,190
161,191,190
162,191,190
162,192,191
162,192,190
162,192,190
162,192,189
162,193,189
163,193,189
163,193,189
163,194,190
164,194,190
164,194,191
164,194,190
164,194,190
164,194,190
164,194,190
163,194,190
163,194,190
164,193,190
164,193,190
165,192,191
165,192,191
165,193,191
163,193,191
162,192,190
161,192,190
161,192,190
161,192,190
161,192,189
162,191,189
162,191,189
163,190,188
165,189,188
168,190,189
173,193,192
178,196,194
182,198,194
170,192,191
167,190,190
165,189,189
164,189,189
164,189,189
165,190,189
165,190,190
165,191,190
166,191,190
166,192,191
166,192,191
166,192,191
167,193,192
167,193,192
167,193,192
167,193,192
167,193,192
166,193,191
165,192,191
164,191,191
164,191,191
163,192,191
163,193,191
164,193,192
164,193,192
164,193,191
163,192,191
162,191,190
162,191,190
161,191,189
161,191,189
161,191,189
161,191,189
162,191,190
162,192,190
164,193,191
164,193,191
163,193,191
163,192,190
162,192,189
162,192,189
162,192,189
163,193,190
164,193,190
164,194,191
164,194,191
164,194,191
164,193,190
163,193,190
163,193,190
163,192,190
163,192,189
164,192,190
165,192,191
166,193,192
165,193,192
163,193,191
162,191,189
161,191,189
161,192,189
161,192,190
161,192,189
161,191,189
162,191,189
164,190,189
166,190,189
168,190,190
172,192,192
177,195,193
181,198,195
171,193,191
168,191,190
166,189,189
164,189,188
164,189,189
165,190,189
165,191,190
166,191,191
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
165,192,191
165,192,191
165,193,191
165,193,192
164,193,191
163,192,191
162,191,190
162,191,189
162,191,189
162,191,189
162,191,189
162,191,189
162,191,189
161,190,189
162,191,189
163,192,190
164,193,192
165,194,192
164,193,191
163,192,190
163,192,190
162,191,189
162,191,189
162,191,189
162,192,189
163,192,190
163,193,190
164,193,191
164,193,191
164,193,191
164,193,191
163,192,190
163,192,190
164,192,191
166,193,192
167,194,193
166,195,193
164,194,192
162,192,190
161,191,189
161,192,189
161,192,190
161,192,190
161,191,189
162,191,189
164,190,189
166,190,189
167,189,190
170,190,191
174,193,192
179,196,193
172,193,191
169,191,190
167,190,190
165,189,189
165,189,189
165,190,189
165,191,190
166,192,191
166,192,191
167,193,192
167,193,192
167,193,192
167,193,192
167,193,192
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
166,193,192
166,193,192
165,194,192
165,194,192
164,193,191
163,192,190
161,190,188
161,190,188
161,190,188
162,191,189
162,191,189
162,191,189
162,191,189
161,190,188
162,191,189
163,192,190
164,193,191
165,194,192
164,193,191
163,192,190
163,192,190
163,192,190
162,191,189
162,191,189
161,190,188
161,190,188
162,191,189
163,192,190
164,193,191
165,194,192
165,194,192
165,194,192
164,193,191
165,193,192
167,194,193
168,196,194
168,196,194
166,195,193
163,193,191
162,192,190
161,193,190
162,193,190
162,192,190
162,192,190
163,191,190
164,191,189
165,189,189
166,189,189
168,189,189
171,190,189
175,193,190
171,192,191
169,191,190
167,190,190
166,190,190
165,190,190
165,190,190
165,191,190
166,192,191
166,192,191
166,192,191
167,193,192
167,193,192
168,194,193
168,194,193
167,193,192
166,192,191
166,192,191
165,191,190
166,192,191
166,192,191
166,192,191
166,192,191
166,192,191
166,193,191
165,193,191
164,193,191
164,193,191
163,192,190
162,191,189
162,191,189
161,190,188
162,191,189
162,191,189
162,191,189
162,191,189
162,191,189
162,191,189
162,191,189
164,193,191
164,193,191
164,193,191
163,192,190
164,193,191
163,192,190
163,192,190
162,191,189
160,189,187
160,189,187
161,190,188
162,191,189
164,193,191
165,194,192
165,194,192
165,194,192
165,194,192
165,194,192
167,195,193
168,196,194
168,196,194
